program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MSITL,Organic Search,/it-careers-after-help-desk/,58,-75,53,-80,0,0,0,0
MED,Direct,/cooperative-learning-strategies/,57,-57,54,-65,0,0,0,0
MED,Direct,/steam-education-in-schools/,57,-78,52,-110,0,-1,0,-0.007407407407407408
MED,Direct,/co-teaching-models/,57,5,55,3,0,0,0,0
MTS,Direct,/theology-careers/,57,-5,58,-20,0,0,0,0
MSHA,Direct,/how-to-become-diplomat/,57,6,60,9,0,0,0,0
MSNP,Organic Search,/ngo-vs-nonprofit/,57,,71,,0,,0,
MESH,Organic Search,/environmental-justice-careers/,56,,61,,0,,0,
MSHA,Direct,/humanitarian-intervention-success-stories/,56,-5,57,-1,0,0,0,0
LEPSL,Email,/masters-law-enforcement-leadership/lp/request-info/,55,-652,62,-763,2,-9,0.03636363636363636,0.020804937636620804
MTS,Organic Search,/why-study-theology/,55,-298,60,-314,0,0,0,0
MSLDT,Organic Search,/instructional-technology-tools/,55,47,52,27,0,-1,0,-0.125
MESH,Direct,/ngo-careers/,54,-228,57,-281,0,-2,0,-0.0070921985815602835
MED,Referral,/brain-based-learning/,54,33,53,28,1,1,0.018518518518518517,0.018518518518518517
MSITL,Display,/masters-information-technology-leadership/lp/ppc/,54,52,56,53,1,1,0.018518518518518517,0.018518518518518517
MSITL,Organic Search,/it-organizational-structure/,54,,54,,0,,0,
MESH,Organic Search,/jobs-that-make-difference/,54,-189,57,-197,0,0,0,0
MTS,Organic Search,/how-to-become-a-catholic-school-teacher/,53,-161,67,-172,0,0,0,0
Informatics,Paid Social,/health-data-analyst/,53,-306,54,-327,0,-1,0,-0.002785515320334262
MSAAI,Direct,/artificial-intelligence-finance/,53,-261,53,-316,0,-2,0,-0.006369426751592357
MTS,Organic Search,/ways-to-deepen-your-faith/,53,43,60,50,0,0,0,0
LEPSL,Referral,/masters-law-enforcement-leadership/lp/fop/,53,-183,60,-225,2,-8,0.03773584905660377,-0.004637032299328429
MED,Referral,/the-joys-and-challenges-of-teaching-black-history-month/,52,-88,66,-71,0,0,0,0
MESH,Direct,/masters-engineering-sustainability-health/,51,-48,69,-89,1,0,0.0196078431372549,0.0095068330362448
EML,Organic Search,/engineering-management-leadership-certifications/,51,-117,49,-121,0,0,0,0
MSAAI,Referral,/ai-blogs/,51,41,54,40,0,0,0,0
CyberOps,Organic Search,/masters-cyber-security-operations/,51,-59,72,-142,1,1,0.0196078431372549,0.0196078431372549
MSHA,Direct,/humanitarian-careers/,51,-47,52,-50,0,0,0,0
MED,Direct,/best-teacher-blogs/,50,8,53,7,0,0,0,0
Default - (not set),Direct,/programs/,50,,63,,0,,0,
MSAAI,Organic Search,/masters-applied-artificial-intelligence/classes/,50,-47,49,-56,0,-1,0,-0.010309278350515464
Data Science,Organic Search,/companies-hiring-data-scientists/,50,,47,,0,,0,
MED,Direct,/best-paying-school-districts-ca-teachers/,50,31,49,29,0,0,0,0
MSHA,Direct,/masters-humanitarian-action/,50,-29,90,-24,1,-2,0.02,-0.017974683544303798
CyberEng,Direct,/masters-cyber-security-engineering/apply/,50,-52,55,-77,0,0,0,0
Data Science,Organic Search,/data-communication/,49,-297,55,-332,0,0,0,0
MED,Organic Search,/fastest-way-to-teaching-degree/,49,-39,57,-62,0,0,0,0
