program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MSAAI,Organic Search,/best-artificial-intelligence-degrees/,54,-871,57,-988,0,-9,0,-0.00972972972972973
MSAAI,Direct,/ai-ethicist-career/,54,-83,54,-89,0,-1,0,-0.0072992700729927005
MTS,Direct,/masters-theological-studies/,53,-60,103,-105,4,-1,0.07547169811320754,0.031223910502588076
LEPSL,Organic Search,/why-police-officer-education-is-important/,52,-131,55,-125,0,-1,0,-0.00546448087431694
MSNNL,Paid Search,/masters-nursing-leadership/nursing-informatics-track/,52,,101,,2,,0.038461538461538464,
EML,Direct,/masters-engineering-management-leadership/,52,-44,74,-74,1,0,0.019230769230769232,0.008814102564102566
MSNP,Organic Search,/nonprofit-executive-director/,52,26,46,20,0,0,0,0
MESH,Organic Search,/jobs-that-make-difference/,52,-103,54,-103,0,0,0,0
MED,Referral,/brain-based-learning/,52,-34,44,-34,0,0,0,0
Default - (not set),Unknown - tradedesk / dooh,/,51,,51,,0,,0,
MSITL,Organic Search,/technology-degrees/,51,15,50,10,0,0,0,0
MSAAI,Organic Search,/machine-learning-podcast/,51,-106,49,-106,0,0,0,0
MED,Direct,/cooperative-learning-strategies/,50,-106,50,-139,0,0,0,0
MED,Direct,/teaching-to-every-students-unique-learning-style/,50,-58,63,-85,1,0,0.02,0.010740740740740742
MED,Direct,/best-paying-school-districts-ca-teachers/,50,18,50,13,0,0,0,0
Default - (not set),Direct,/tuition-financial-aid/,50,,73,,0,,0,
CyberOps,Direct,/ethical-hacker-career-salary-guide/,49,-85,61,-92,1,1,0.02040816326530612,0.02040816326530612
MESH,Organic Search,/environmental-justice-careers/,49,41,54,48,0,0,0,0
CyberOps,Organic Search,/best-jobs-in-cyber-security/,49,-296,52,-347,0,-1,0,-0.002898550724637681
MSAAI,Referral,/artificial-intelligence-business/,48,-75,45,-67,0,0,0,0
MTS,Organic Search,/why-study-theology/,48,-320,44,-366,0,0,0,0
MSHA,Direct,/humanitarian-careers/,48,-25,48,-30,0,0,0,0
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,48,-13,49,-23,0,-1,0,-0.01639344262295082
Default - (not set),Direct,/employer-partnership/,47,-77,56,-151,3,1,0.06382978723404255,0.04770075497597803
Data Science,Organic Search,/quantitative-analyst-career/,47,-273,45,-276,0,0,0,0
Default - (not set),Direct,/admissions/how-to-apply/,47,,64,,2,,0.0425531914893617,
MED,Organic Search,/master-education-vs-master-arts-teaching/,46,-191,52,-194,0,0,0,0
BSN,Direct,/bachelors-nursing/,46,,51,,1,,0.021739130434782608,
MED,Referral,/complete-list-teaching-methods/,46,-12,39,-51,0,0,0,0
MSNP,Organic Search,/nonprofit-operations-career/,46,,46,,1,,0.021739130434782608,
MSAAI,Direct,/artificial-intelligence-finance/,46,-88,44,-107,0,0,0,0
CyberEng,Direct,/masters-cyber-security-engineering/classes/,46,-69,53,-64,0,0,0,0
EML,Organic Search,/engineering-manager-skills/,46,-86,54,-70,1,1,0.021739130434782608,0.021739130434782608
Informatics,Paid Social,/what-skills-do-you-need-to-work-in-health-care-informatics/,46,43,48,45,0,0,0,0
MSLDT,Organic Search,/instructional-technology-tools/,45,-349,44,-355,1,1,0.022222222222222223,0.022222222222222223
MED,Direct,/steam-education-in-schools/,45,-141,42,-157,0,0,0,0
MTS,Direct,/catholic-charism-comparison/,45,3,44,-7,0,0,0,0
Default - (not set),Direct,/forms/,45,-6,115,-96,5,-5,0.1111111111111111,-0.08496732026143791
EML,Organic Search,/engineering-management-leadership-certifications/,45,-206,49,-229,0,-2,0,-0.00796812749003984
MSAAI,Direct,/ai-trainer/,45,-2,57,5,0,0,0,0
