program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
Data Science,Direct,/graduate-success-in-applied-data-science/,2,,2,,0,,0,
EML,Paid Search,/online-programs/,2,1,2,-1,0,0,0,0
Data Science,Direct,/masters-applied-data-science/faculty/,2,-5,1,-9,0,0,0,0
Data Science,Direct,/search/Statistical+Evidencw/,2,,2,,0,,0,
EML,Organic Search,/masters-engineering-management-leadership/apply/,2,-5,2,-5,0,0,0,0
Data Science,Organic Search,/data-science-vs-computer-science/,2,-6,2,-6,0,0,0,0
EML,Direct,/faculty/gb-singh/,2,-2,3,0,0,0,0,0
Data Science,Organic Search,/how-to-become-data-analytics-manager/,2,-80,2,-80,0,0,0,0
EML,Direct,/masters-cyber-security-engineering/,2,1,11,5,0,0,0,0
Data Science,AI Traffic,/13-essential-data-science-textbooks/,2,,2,,0,,0,
Data Science,Referral,/python-for-data-science/,2,1,1,-1,0,0,0,0
Data Science,Direct,/aws-certification-careers/,2,-1,2,-1,0,0,0,0
Data Science,Organic Search,/risk-manager-career-guide/,2,,2,,0,,0,
Data Science,AI Traffic,/business-intelligence-certifications/,2,,1,,0,,0,
EML,Organic Search,.translate.goog/engineering-masters-degrees/,2,,2,,0,,0,
EML,Paid Search,/masters-engineering-management-leadership/let-us-pay-for-your-eml-program-application-fee/,2,,2,,0,,0,
Data Science,Direct,/masters-applied-data-science/student-services/,2,1,2,1,0,0,0,0
EML,Direct,/advisory-board/ramon-lecanda/,1,0,1,0,0,0,0,0
EML,Organic Search,/faculty/dan-heinig/,1,,1,,0,,0,
Data Science,Direct,/data-science-bootcamp-vs-masters-degree/,1,,1,,0,,0,
Data Science,Direct,/advisory-board/eric-colson/,1,0,1,0,0,0,0,0
EML,Direct,/search/engineering+surveing/,1,,1,,0,,0,
EML,Direct,/advisory-board/nandor-szots/,1,0,1,0,0,0,0,0
Data Science,Organic Search,/advisory-board/eric-colson/,1,,1,,0,,0,
Data Science,Organic Search,/resources/data-science-self-assessment/,1,-3,1,-3,0,0,0,0
EML,Organic Search,/advisory-board/nandor-szots/,1,,1,,0,,0,
Data Science,Organic Search,/classes/capstone-project/,1,,1,,0,,0,
Data Science,Direct,/data-science-and-data-engineering-distinctions-and-similarities/,1,,1,,0,,0,
Data Science,Referral,/data-communication/,1,-8,2,-8,0,0,0,0
Data Science,Organic Search,.translate.goog/data-science-vs-cybersecurity/,1,,1,,0,,0,
Data Science,AI Traffic,/database-engineer-career/,1,,1,,0,,0,
EML,Direct,/masters-engineering-management-leadership/let-us-pay-for-your-eml-program-application-fee/,1,,1,,0,,0,
Data Science,Paid Search,/advisory-board/ebrahim-k-tarshizi/,1,,1,,0,,0,
Data Science,Direct,.translate.goog/data-architect-career/,1,0,1,0,0,0,0,0
Data Science,Direct,/resources/mads-masters-degree-application-guide-ebook-you/,1,,1,,1,,1,
Data Science,Referral,/data-warehouse-engineer/,1,,1,,0,,0,
Data Science,Direct,/give/msads/,1,,1,,0,,0,
Data Science,Direct,/classes/applied-data-mining/,1,0,1,0,0,0,0,0
Data Science,Direct,/masters-applied-data-science/msads-combined-degree/,1,,0,,0,,0,
Data Science,Direct,.translate.goog/aws-certification-careers/,1,,1,,0,,0,
Data Science,Direct,/storytelling-with-data-part-1/,1,-7,1,-7,0,0,0,0
Data Science,Direct,/data-analyst-vs-data-scientist/,1,,1,,0,,0,
Data Science,Direct,/top-online-cloud-computing-courses/,1,-2,1,-2,0,0,0,0
EML,Direct,/blog/cyber-security/page/2/,1,,1,,0,,0,
Data Science,Direct,s-applied-data-science/apply/,1,,1,,0,,0,
Data Science,Referral,/women-in-data-science-where-we-are-where-were-going-and-why-it-matters/,1,,1,,0,,0,
